episode,reward,portfolio_value
108,-12.898140059883046,104558.36131890443
109,-13.12466704526363,103903.89173944264
110,-12.995811559095149,101839.69139712374
111,-13.007682660438626,102143.60408801072
112,-13.036357406070158,105405.46978968097
113,-12.83585475338279,105048.42025212722
114,-12.893823698353607,104679.98016278587
115,-13.090135898093822,105281.58389990982
116,-12.870365579793082,106497.85064694361
117,-12.92501716279063,108202.16646836897
118,-12.988837952966904,100469.0761840426
119,-13.001494835747003,103836.51214961038
120,-12.931402750124246,106735.67452856072
121,-13.045297961645577,104203.63320028572
122,-13.0575628451789,106119.10905771388
123,-12.955926603947338,103812.32230045037
124,-13.056484848280926,101542.5183400972
125,-13.129648534732443,98342.17858323669
126,-12.949961736785614,103127.46347574085
127,-13.038418491957248,101576.81630683673
128,-12.962357925910036,105557.18731171536
129,-12.883660724124756,107641.03908178613
130,-13.027859156762993,103274.95966932153
131,-13.084641544354406,106785.21484045444
132,-13.12530963036534,103081.62013394311
133,-13.04747657993302,104473.58344559818
134,-13.077367254559153,111876.75938642188
135,-12.982241222464024,104252.18656783494
136,-12.907225081573712,102281.96298583972
137,-12.85585312004453,100440.51504683119
138,-13.024088796937113,102584.07787837878
139,-12.992249385072371,105963.04930676051
140,-13.084284222556821,105573.693714672
141,-13.117272675437048,105027.0047136263
142,-13.097291961569653,105434.39052279422
143,-13.064176512944979,103925.79645895342
144,-13.06658515658,102542.64704941308
145,-12.973776024738466,108895.68522522911
146,-12.9767119214699,105281.24485889384
147,-13.048625447763024,98551.4962877365
148,-13.01762535561243,100208.97320626513
149,-12.996639572371766,105429.99261353252
150,-12.86628127277318,106944.36380928916
151,-13.094357165269516,109309.88175485935
152,-12.992418734496468,106624.28182656529
153,-13.083819964456387,101610.81639977342
154,-13.027584555724346,103400.38982107738
155,-12.857002352523404,101785.73922564338
156,-13.068170742457118,103054.39288214421
157,-12.915544813465342,104025.54065670389
158,-13.027962350206097,99159.85656210926
159,-12.954871832500386,104920.49581751892
160,-12.929030908564316,102151.80235437163
161,-13.08880006215075,109885.51408635404
162,-13.002193712374785,104761.14997897933
163,-12.984982256833085,102533.17749930518
164,-12.932034516782284,101473.51948392033
165,-12.935417946547426,104620.47776835626
166,-12.934333221526423,106019.16830330298
167,-13.077392927894161,107329.89627248941
168,-12.960875191457477,104125.3735317715
169,-12.960607142606836,105862.99234994016
170,-13.020232761274695,105484.94005457238
171,-12.994802544603965,102633.40082389268
172,-13.065880757308067,106314.7785172977
173,-12.996010170226722,106218.91511856121
174,-12.985669293674933,106097.17584519707
175,-12.989966395066123,100532.93392596567
176,-12.891150367298412,103302.91053150829
177,-13.003499872436164,107743.25018025754
178,-12.88663630984063,103367.34394222545
179,-13.035118055121709,104529.2939109407
180,-12.942746300000252,104936.48690997247
181,-13.017982736412955,107894.83237073476
182,-12.893201178399561,103199.52231100322
183,-13.074993089308869,103615.42675385819
184,-12.96811026616708,102665.97502553153
185,-12.971018394793177,105283.70806715683
186,-12.991852413794366,104868.31505991828
187,-12.96022535913968,108314.22095023704
188,-13.070542305789761,103914.52358947136
189,-12.89904705683001,107016.76619472499
190,-13.102842062202223,103521.05875778872
191,-13.012343142359057,108098.8359120023
192,-13.045189184033521,106291.14144307555
193,-12.92968196476987,102483.23181158556
194,-13.011526673250728,101833.59803960279
195,-13.001905614008152,105285.06721426925
196,-13.064143540793328,104915.18189631707
197,-12.913538602326822,109225.47147387825
198,-13.096803641189815,99291.18261239504
199,-12.909707210088852,101328.7959124369
200,-13.062010454241756,106309.0504823252
